"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Rich Hill","Dodgers","11","5","0","25","24","132.2","10.18","2.78","1.36",".268","77.5 %","38.9 %","14.7 %","3.66","3.97","3.70","1.9","4806"
"Clay Buchholz","Diamondbacks","7","2","0","16","16","98.1","7.41","2.01","0.82",".255","86.6 %","42.6 %","8.7 %","2.01","3.47","4.01","1.9","3543"
"Sean Newcomb","Braves","12","9","0","31","30","164.0","8.78","4.45","0.99",".273","74.8 %","43.4 %","11.2 %","3.90","4.14","4.33","1.9","16943"
"Luis Castillo","Reds","10","12","0","31","31","169.2","8.75","2.60","1.49",".282","71.2 %","45.9 %","17.9 %","4.30","4.32","3.69","1.9","15689"
"Taylor Rogers","Twins","1","2","2","72","0","68.1","9.88","2.11","0.40",".280","74.8 %","44.5 %","6.1 %","2.63","2.33","2.94","1.9","13449"
"Ryan Pressly","- - -","2","1","2","77","0","71.0","12.80","2.79","0.76",".319","82.9 %","51.5 %","11.5 %","2.54","2.47","2.58","1.9","7005"
"Joakim Soria","- - -","3","4","16","66","0","60.2","11.13","2.37","0.59",".310","71.9 %","35.7 %","6.2 %","3.12","2.44","3.35","1.8","6941"
"Jeremy Jeffress","Brewers","8","1","15","73","0","76.2","10.45","3.17","0.59",".249","92.9 %","56.4 %","11.6 %","1.29","2.78","2.86","1.8","9490"
"Dellin Betances","Yankees","4","6","4","66","0","66.2","15.53","3.51","0.95",".311","81.3 %","43.9 %","20.6 %","2.70","2.47","1.95","1.8","6216"
"Jeurys Familia","- - -","8","6","18","70","0","72.0","10.38","3.50","0.38",".306","74.6 %","46.3 %","4.8 %","3.13","2.65","3.53","1.8","5114"
"Kirby Yates","Padres","5","3","12","65","0","63.0","12.86","2.43","0.86",".263","87.7 %","42.8 %","11.8 %","2.14","2.54","2.64","1.8","9073"
"Sean Manaea","Athletics","12","9","0","27","27","160.2","6.05","1.79","1.18",".247","75.2 %","44.0 %","12.3 %","3.59","4.26","4.32","1.8","15873"
"Chad Green","Yankees","8","3","0","63","0","75.2","11.18","1.78","1.07",".307","86.1 %","31.4 %","10.5 %","2.50","2.86","3.19","1.8","15552"
"Jose Urena","Marlins","9","12","0","31","31","174.0","6.72","2.64","0.98",".272","73.2 %","49.6 %","11.5 %","3.98","4.17","4.32","1.8","11589"
"Tony Watson","Giants","4","6","0","72","0","66.0","9.82","1.91","0.55",".294","78.9 %","43.2 %","7.0 %","2.59","2.45","3.09","1.8","3132"
"Ryan Borucki","Blue Jays","4","6","0","17","17","97.2","6.17","3.04","0.65",".291","68.5 %","46.8 %","6.7 %","3.87","3.80","4.62","1.7","16350"
"Dereck Rodriguez","Giants","6","4","0","21","19","118.1","6.77","2.74","0.68",".257","76.3 %","39.5 %","6.9 %","2.81","3.74","4.56","1.7","14509"
"Sonny Gray","Yankees","11","9","0","30","23","130.1","8.49","3.94","0.97",".326","70.9 %","50.0 %","13.3 %","4.90","4.17","4.10","1.7","12768"
"Mychal Givens","Orioles","0","7","9","69","0","76.2","9.27","3.52","0.47",".284","64.5 %","36.5 %","5.0 %","3.99","3.07","4.11","1.7","10430"
"Wade LeBlanc","Mariners","9","5","0","32","27","162.0","7.22","2.22","1.33",".273","74.8 %","36.6 %","11.5 %","3.72","4.28","4.47","1.7","5221"
"Junior Guerra","Brewers","6","9","0","31","26","141.0","8.68","3.51","1.21",".312","73.0 %","43.1 %","12.8 %","4.09","4.24","4.23","1.7","5702"
"Robbie Erlin","Padres","4","7","0","39","12","109.0","7.27","0.99","0.99",".306","62.5 %","46.7 %","11.9 %","4.21","3.31","3.41","1.7","10354"
"Jon Lester","Cubs","18","6","0","32","32","181.2","7.38","3.17","1.19",".290","80.3 %","37.7 %","12.4 %","3.32","4.39","4.43","1.7","4930"
"David Robertson","Yankees","8","3","5","69","0","69.2","11.76","3.36","0.90",".245","67.5 %","45.3 %","11.7 %","3.23","2.97","3.09","1.5","8241"
"Craig Kimbrel","Red Sox","5","1","42","63","0","62.1","13.86","4.48","1.01",".216","83.0 %","28.2 %","12.7 %","2.74","3.13","3.13","1.5","6655"
"Marcus Stroman","Blue Jays","4","9","0","19","19","102.1","6.77","3.17","0.79",".326","60.5 %","62.1 %","13.6 %","5.54","3.91","3.84","1.5","13431"
"Wade Miley","Brewers","5","2","0","16","16","80.2","5.58","3.01","0.33",".269","75.9 %","52.8 %","5.2 %","2.57","3.59","4.30","1.5","8779"
"Matt Harvey","- - -","7","9","0","32","28","155.0","7.61","2.15","1.57",".299","71.1 %","42.3 %","15.1 %","4.94","4.57","4.21","1.5","11713"
"Seth Lugo","Mets","3","4","3","54","5","101.1","9.15","2.49","0.80",".269","76.2 %","46.5 %","10.0 %","2.66","3.17","3.48","1.4","12447"
"Jose Quintana","Cubs","13","11","0","32","32","174.1","8.16","3.51","1.29",".282","76.8 %","43.2 %","14.7 %","4.03","4.43","4.18","1.4","11423"
"A.J. Minter","Braves","4","3","15","65","0","61.1","10.13","3.23","0.44",".329","75.5 %","37.4 %","5.3 %","3.23","2.72","3.62","1.4","18655"
"Collin McHugh","Astros","6","2","0","58","0","72.1","11.70","2.61","0.75",".248","84.7 %","34.6 %","8.5 %","1.99","2.72","3.26","1.4","7531"
"Mike Montgomery","Cubs","5","6","0","38","19","124.0","6.24","2.83","0.73",".309","73.0 %","51.5 %","9.5 %","3.99","3.94","4.29","1.4","4869"
"Madison Bumgarner","Giants","6","7","0","21","21","129.2","7.57","2.98","0.97",".274","78.6 %","42.7 %","10.3 %","3.26","3.99","4.32","1.4","5524"
"Trevor Richards","Marlins","4","9","0","25","25","126.1","9.26","3.85","1.07",".309","72.3 %","35.8 %","10.9 %","4.42","4.05","4.30","1.4","19309"
"Joe Jimenez","Tigers","5","4","3","68","0","62.2","11.20","3.16","0.72",".302","62.0 %","35.6 %","6.8 %","4.31","2.91","3.82","1.4","15761"
"Mike Fiers","- - -","12","8","0","31","30","172.0","7.27","1.94","1.67",".269","84.2 %","39.4 %","14.1 %","3.56","4.75","4.51","1.4","7754"
"Michael Fulmer","Tigers","3","12","0","24","24","132.1","7.48","3.13","1.29",".288","68.2 %","44.2 %","14.5 %","4.69","4.52","4.29","1.4","13218"
"Luke Weaver","Cardinals","7","11","0","30","25","136.1","7.99","3.56","1.25",".318","68.7 %","42.4 %","12.7 %","4.95","4.45","4.46","1.3","16918"
"Felix Pena","Angels","3","5","0","19","17","92.2","8.26","2.72","1.17",".288","72.4 %","42.6 %","13.3 %","4.18","4.05","3.97","1.3","13403"
"Matt Barnes","Red Sox","6","4","0","62","0","61.2","14.01","4.52","0.73",".321","75.3 %","53.0 %","11.4 %","3.65","2.71","2.83","1.3","12863"
"Alex Cobb","Orioles","5","15","0","28","28","152.1","6.03","2.54","1.42",".303","68.0 %","49.5 %","15.1 %","4.90","4.80","4.47","1.3","6562"
"Jonathan Holder","Yankees","1","3","0","60","1","66.0","8.18","2.59","0.55",".261","68.3 %","29.3 %","4.2 %","3.14","3.04","4.63","1.3","16588"
"Jakob Junis","Royals","9","12","0","30","30","177.0","8.34","2.19","1.63",".298","74.8 %","42.0 %","16.2 %","4.37","4.64","4.13","1.3","13619"
"Robbie Ray","Diamondbacks","6","2","0","24","24","123.2","12.01","5.09","1.38",".292","80.5 %","39.2 %","17.4 %","3.93","4.31","3.77","1.3","11486"
"Jaime Barria","Angels","10","9","0","26","26","129.1","6.82","3.27","1.18",".271","82.1 %","37.1 %","10.2 %","3.41","4.58","4.99","1.3","18356"
"Richard Rodriguez","Pirates","4","3","0","63","0","69.1","11.42","2.47","0.65",".309","83.3 %","37.5 %","6.6 %","2.47","2.60","3.47","1.3","13549"
"Brad Hand","- - -","2","5","32","69","0","72.0","13.25","3.50","1.00",".293","78.4 %","45.2 %","15.1 %","2.75","3.20","2.97","1.2","9111"
"Freddy Peralta","Brewers","6","4","0","16","14","78.1","11.03","4.60","0.92",".237","68.5 %","30.5 %","8.7 %","4.25","3.72","4.33","1.2","18679"
